iter	Passed	Remaining
343	3496	1585
344	3505	1574
345	3516	1565
346	3526	1555
347	3536	1544
348	3547	1535
349	3557	1524
350	3567	1514
351	3577	1504
352	3587	1493
353	3597	1483
354	3607	1473
355	3617	1463
356	3627	1453
357	3640	1444
358	3652	1434
359	3662	1424
360	3671	1413
361	3682	1403
362	3691	1393
363	3702	1383
364	3711	1372
365	3722	1362
366	3732	1352
367	3741	1342
368	3751	1331
369	3761	1321
370	3771	1311
371	3782	1301
372	3792	1291
373	3802	1281
374	3812	1270
375	3824	1261
376	3834	1251
377	3843	1240
378	3851	1229
379	3861	1219
380	3870	1208
381	3880	1198
382	3890	1188
383	3900	1178
384	3910	1167
385	3919	1157
386	3930	1147
387	3940	1137
388	3949	1126
389	3958	1116
390	3969	1106
391	3979	1096
392	3988	1085
393	3998	1075
394	4008	1065
395	4018	1055
396	4028	1045
397	4039	1035
398	4048	1024
399	4058	1014
400	4067	1004
401	4078	994
402	4088	983
403	4097	973
404	4109	963
405	4119	953
406	4128	943
407	4138	933
408	4148	922
409	4157	912
410	4167	902
411	4178	892
412	4188	882
413	4197	872
414	4207	861
415	4216	851
416	4226	841
417	4236	831
418	4245	820
419	4256	810
420	4265	800
421	4276	790
422	4286	780
423	4296	770
424	4306	759
425	4315	749
426	4326	739
427	4335	729
428	4344	719
429	4354	708
430	4363	698
431	4374	688
432	4384	678
433	4393	668
434	4404	658
435	4414	648
436	4424	637
437	4434	627
438	4444	617
439	4454	607
440	4464	597
441	4474	587
442	4485	577
443	4494	566
444	4505	556
445	4513	546
446	4524	536
447	4533	526
448	4543	516
449	4552	505
450	4563	495
451	4573	485
452	4583	475
453	4593	465
454	4603	455
455	4612	445
456	4622	434
457	4631	424
458	4641	414
459	4650	404
460	4660	394
461	4671	384
462	4681	374
463	4690	363
464	4702	353
465	4712	343
466	4722	333
467	4731	323
468	4740	313
469	4751	303
470	4760	293
471	4770	282
472	4781	272
473	4790	262
474	4800	252
475	4810	242
476	4820	232
477	4830	222
478	4840	212
479	4851	202
480	4860	192
481	4870	181
482	4881	171
483	4890	161
484	4900	151
485	4910	141
486	4919	131
487	4929	121
488	4938	111
489	4949	101
490	4958	90
491	4968	80
492	4979	70
493	4989	60
494	4999	50
495	5010	40
496	5019	30
497	5029	20
498	5038	10
499	5048	0
