iter	MultiClass
226	0.4350144403
227	0.4344334418
228	0.4336627328
229	0.4332345539
230	0.43294481
231	0.4324371742
232	0.4319936058
233	0.4311841591
234	0.4302863424
235	0.4296484085
236	0.4288582111
237	0.4277602668
238	0.4270417757
239	0.4263550231
240	0.4255600324
241	0.4246768018
242	0.4240108342
243	0.4232083683
244	0.4228595286
245	0.4221650625
246	0.4215424396
247	0.4211537182
248	0.4205670028
249	0.4200444454
250	0.4194487891
251	0.4190574777
252	0.4183654208
253	0.4173161468
254	0.4164523636
255	0.4160739715
256	0.4154370227
257	0.4148671876
258	0.414540691
259	0.4138224573
260	0.4132902721
261	0.4124219393
262	0.4119592185
263	0.4116878031
264	0.4110336057
265	0.4102295385
266	0.4094160669
267	0.4089055827
268	0.4082170858
269	0.4079102571
270	0.4074329663
271	0.4069025018
272	0.4061776965
273	0.4053783989
274	0.4048642669
275	0.4044944219
276	0.4038463364
277	0.4031423484
278	0.4026405169
279	0.4021727214
280	0.4017893553
281	0.4014005792
282	0.4007476656
283	0.4002305636
284	0.3998231793
285	0.3992655525
286	0.3987324936
287	0.3982262113
288	0.3975555465
289	0.3969958929
290	0.396274189
291	0.3956195303
292	0.3949786467
293	0.3941664841
294	0.3935941663
295	0.3930046606
296	0.3922171578
297	0.391713896
298	0.3911000603
299	0.3908375858
300	0.3903558104
301	0.3896733337
302	0.3890744694
303	0.3885785098
304	0.3882519343
305	0.3874718662
306	0.3864234932
307	0.3857478493
308	0.3849715664
309	0.3844732663
310	0.3839738167
311	0.3829196894
312	0.3821273297
313	0.3815972177
314	0.3810037781
315	0.3801812878
316	0.3795777898
317	0.3790204216
318	0.3783412067
319	0.3777691317
320	0.3769879403
321	0.3763520555
322	0.3756940857
323	0.3752727659
324	0.374560619
325	0.3740099494
326	0.3737154868
327	0.3730570078
328	0.3726409223
329	0.3721511554
330	0.3715089694
331	0.3707804358
332	0.3699850097
333	0.3693297657
334	0.368730244
335	0.3683309743
336	0.3679529272
337	0.3676015522
338	0.3673170638
339	0.36682144
340	0.3662205064
341	0.3656752367
342	0.3653275099
343	0.3646011219
344	0.3640917086
345	0.3634739489
346	0.3628544829
347	0.3625227311
348	0.3617839345
349	0.36119964
350	0.3608730225
351	0.3603843191
352	0.3598063023
353	0.3594667306
354	0.359123471
355	0.3584017632
356	0.3579827374
357	0.3574039436
358	0.3568991707
359	0.3563994712
360	0.3559116422
361	0.3554129512
362	0.354743454
363	0.3541378605
364	0.3537182936
365	0.3532705424
366	0.3529583226
367	0.3526434909
368	0.3519642793
369	0.3514240986
370	0.3510505454
371	0.3502605518
372	0.349658198
373	0.3492162542
374	0.3487841622
375	0.3482716813
376	0.3479360125
377	0.3477163343
378	0.3469978038
379	0.3464242634
380	0.345755473
381	0.345213705
382	0.3445980811
383	0.3438332505
384	0.3433975953
385	0.3427551242
386	0.3421808611
387	0.341734851
388	0.3414049651
389	0.3409939244
390	0.3405333672
391	0.3397490049
392	0.3393767736
393	0.3387187868
394	0.3381383716
395	0.3377667236
396	0.3373654914
397	0.3366630158
398	0.3361058661
399	0.335443204
400	0.3348228155
401	0.3344020379
402	0.3339513476
403	0.3335733965
404	0.3331321426
405	0.3326188922
406	0.3318208663
407	0.3312400484
408	0.3308716135
409	0.3306386315
410	0.3301909072
411	0.3296792103
412	0.3291901691
413	0.3288273217
414	0.328514008
415	0.3281371072
416	0.3278246458
417	0.3274383739
418	0.3270343331
419	0.3266490273
420	0.3262465179
421	0.3258082798
422	0.3253024827
423	0.3247302438
424	0.3243949697
425	0.3236010235
426	0.3233462354
427	0.3230344745
428	0.3224733149
429	0.3222962248
430	0.3217765578
431	0.3211294752
432	0.3208481076
433	0.320523284
434	0.320287916
435	0.3198006156
436	0.3195214751
437	0.3188799608
438	0.3184396551
439	0.3179852563
440	0.317705339
441	0.317324585
442	0.3167833168
443	0.3162874669
444	0.3156710398
445	0.3151817661
446	0.3145347925
447	0.3142320189
448	0.3137721956
449	0.3134871894
450	0.3131515449
451	0.3126763482
452	0.3121940005
453	0.3116618555
454	0.3112441696
455	0.3109291811
456	0.3107341041
457	0.3105389573
458	0.3100214111
459	0.3095730247
460	0.309195877
461	0.3087840766
462	0.3082631415
463	0.3080149712
464	0.3076097681
465	0.3071276364
466	0.3067840019
467	0.3062602673
468	0.3058061829
469	0.3055303318
470	0.3050727145
471	0.3047800197
472	0.304208002
473	0.3036638207
474	0.3032581081
475	0.3027698959
476	0.3024130704
477	0.3017428631
478	0.3013994111
479	0.3010351419
480	0.3005987135
481	0.3002023307
482	0.29973406
483	0.2993472119
484	0.2988491965
485	0.2985038082
486	0.298285779
487	0.2977322581
488	0.2974671214
489	0.2971978867
490	0.2969088785
491	0.2964301801
492	0.2962436731
493	0.2957393456
494	0.295206481
495	0.2947599927
496	0.2942326851
497	0.2939136391
498	0.2935850877
499	0.2929723464
